Net: Toplevel network.,D(Normal) Alt1,D(Normal) Alt2,D(Normal) Alt3,Total,Calc Err
Original,0.367297,0.288242,0.344461,0.000000,0.000000
A1:upper,0.061223,0.348044,-0.409267,0.540724,0.000450
A2:upper,0.305884,-0.337103,0.031219,0.456265,0.000787
A3:upper,-0.546438,1.015480,-0.469042,1.244908,0.000545
A4:upper,-0.539088,0.064869,0.474219,0.720908,0.000609
A5:upper,0.525288,-0.036789,-0.488499,0.718270,0.000171
Alt1:upper,3.126286,-1.430760,-1.695526,3.833478,0.000889
Alt2:upper,-1.795849,3.491375,-1.695526,4.276632,0.000988
Alt3:upper,-1.795849,-1.430760,3.226609,3.960196,0.000916
B1:upper,0.112026,0.043142,-0.155168,0.196184,0.000923
B2:upper,-0.129674,-0.099572,0.229247,0.281574,0.000675
B3:upper,0.002703,-0.020129,0.017426,0.026761,0.000354
C1:upper,0.168881,-0.360898,0.192017,0.442311,0.000620
C2:upper,-0.694145,0.162694,0.531451,0.889239,0.000605
C3:upper,-0.331211,-0.225836,0.557047,0.686297,0.000930
C4:upper,0.531383,0.052348,-0.583731,0.791107,0.000556
D1:upper,0.162327,-0.111056,-0.051271,0.203254,0.000018
D2:upper,-0.014172,-0.183725,0.197897,0.270405,0.000224
A1:lower,0.016135,0.030584,-0.046719,0.058124,0.000004
A2:lower,0.025887,-0.039493,0.013606,0.049142,0.000012
A3:lower,-0.047841,0.103244,-0.055404,0.126561,0.000013
A4:lower,-0.093821,0.022119,0.071702,0.120136,0.000018
A5:lower,0.049674,-0.002392,-0.047282,0.068621,0.000008
Alt1:lower,0.543507,-0.253325,-0.290181,0.666167,0.000866
Alt2:lower,-0.239182,0.456765,-0.217583,0.559628,0.000583
Alt3:lower,-0.283692,-0.234831,0.518522,0.635997,0.000786
B1:lower,0.008988,0.001956,-0.010944,0.014297,0.000017
B2:lower,-0.018046,-0.005973,0.024019,0.030631,0.000017
B3:lower,-0.004208,-0.002291,0.006499,0.008075,0.000017
C1:lower,0.034879,-0.060610,0.025731,0.074513,0.000040
C2:lower,-0.059476,0.014870,0.044606,0.075817,0.000018
C3:lower,-0.039842,-0.029855,0.069697,0.085653,0.000029
C4:lower,0.103273,0.008581,-0.111853,0.152479,0.000084
D1:lower,0.037578,-0.002084,-0.035494,0.051732,0.000011
D2:lower,0.010546,-0.055777,0.045232,0.072583,0.000005
